,1024,8192,65536,262144,1048576,2097152,4194304,8388608
8,18.7732,179.894,1096.91,930.096,2171.77,3113.57,3690.23,4024.41
16,23.3874,162.367,1256.61,1001.44,3091.82,4614.83,5657.56,6738.14
32,22.2821,183.573,1173.38,1056.75,3727.96,5578.62,8521.64,10579.5
64,23.2371,180.964,1386.74,1071.83,3571.97,7050.16,11100.5,15078.7
128,17.3866,181.221,1418.87,1121.1,4030.64,7376.35,12423.5,18106.1
256,21.1611,179.417,1461.24,923.35,4193.44,7723.63,10856.5,16721
512,20.6967,157.481,1275.91,1109.18,4200.21,7558.66,12173.3,17990.6
