1024,8,20.8229
1024,16,20.6768
1024,32,20.3121
1024,64,20.4724
1024,128,20.3802
1024,256,19.9382
1024,512,19.5859
8192,8,158.912
8192,16,158.5
8192,32,161.18
8192,64,178.29
8192,128,160.656
8192,256,156.081
8192,512,159.517
65536,8,1021.38
65536,16,1133.99
65536,32,1204.76
65536,64,1417.7
65536,128,1448.21
65536,256,1437.24
65536,512,1438.92
262144,8,2592.5
262144,16,3075.36
262144,32,4396.67
262144,64,5138.84
262144,128,5257.28
262144,256,4795.06
262144,512,5589.48
1048576,8,2471.87
1048576,16,3354.27
1048576,32,3300.13
1048576,64,4456.71
1048576,128,4635.51
1048576,256,4708.34
1048576,512,173.165
2097152,8,3255.73
2097152,16,529.051
2097152,32,6617.69
2097152,64,7930.35
2097152,128,7978.03
2097152,256,8158.28
2097152,512,7970.18
4194304,8,3801.78
4194304,16,6294.17
4194304,32,9263.12
4194304,64,249.618
4194304,128,12779.5
4194304,256,11888.8
4194304,512,12603.4
8388608,8,4014.15
8388608,16,7103.93
8388608,32,3534.2
8388608,64,15493.1
8388608,128,16917.2
8388608,256,16664.5
8388608,512,17094.9
