1024,8,22.7836
1024,16,21.9249
1024,32,22.2866
1024,64,22.2434
1024,128,22.6135
1024,256,22.2681
1024,512,22.8888
8192,8,155.191
8192,16,174.166
8192,32,179.125
8192,64,173.668
8192,128,177.706
8192,256,185.509
8192,512,159.743
65536,8,1132.17
65536,16,1165.59
65536,32,1315.77
65536,64,1397.15
65536,128,1406.11
65536,256,1258.99
65536,512,1251.49
262144,8,888.278
262144,16,966.497
262144,32,1039.06
262144,64,1056.23
262144,128,1199.24
262144,256,1066.49
262144,512,1091
1048576,8,2253.27
1048576,16,476.06
1048576,32,3576.26
1048576,64,3889.04
1048576,128,3997.76
1048576,256,51.5688
1048576,512,4458.16
2097152,8,557.666
2097152,16,93.563
2097152,32,180.753
2097152,64,7694.38
2097152,128,143.165
2097152,256,4868.86
2097152,512,92.1458
4194304,8,305.167
4194304,16,461.173
4194304,32,2075.71
4194304,64,6893.8
4194304,128,11808.1
4194304,256,10240.9
4194304,512,10479.4
8388608,8,2549.88
8388608,16,7306.6
8388608,32,9284.37
8388608,64,388.644
8388608,128,18160.3
8388608,256,21554.7
8388608,512,19553.6
