2048,16,62.5,,,,,,,,,,
4096,16,125,,,,,,,,,,
8192,16,250,,,,,16,32,64,128,256,512
16384,16,484.848,,,,2048,62.5,64.5161,64.5161,54.0541,60.6061,64.5161
32768,16,877.464,,,,4096,125,125,125,125,125,129.032
65536,16,1600,,,,8192,250,250,250,258.065,228.571,258.065
131072,16,2801.64,,,,16384,484.848,500,372.093,516.129,500,500
262144,16,4201.03,,,,32768,877.464,955.224,969.697,798.752,1018.91,988.417
524288,16,5587.99,,,,65536,1600,1732.66,1833.48,1921.2,1954.2,1937.56
1048576,16,7034.78,,,,131072,2801.64,3282.05,3506.85,3615.18,3564.84,3690.09
2048,32,64.5161,,,,262144,4201.03,5357.75,6380.06,6081.66,6622.47,6501.59
4096,32,125,,,,524288,5587.99,7839.23,9240.83,9564.51,8636.79,9272.21
8192,32,250,,,,1048576,7034.78,11134.2,13653.3,13991.5,12790,13785.4
16384,32,500,,,,,,,,,,
32768,32,955.224,,,,,,,,,,
65536,32,1732.66,,,,,,,,,,
131072,32,3282.05,,,,,,,,,,
262144,32,5357.75,,,,,,,,,,
524288,32,7839.23,,,,,,,,,,
1048576,32,11134.2,,,,,,,,,,
2048,64,64.5161,,,,,,,,,,
4096,64,125,,,,,,,,,,
8192,64,250,,,,,,,,,,
16384,64,372.093,,,,,,,,,,
32768,64,969.697,,,,,,,,,,
65536,64,1833.48,,,,,,,,,,
131072,64,3506.85,,,,,,,,,,
262144,64,6380.06,,,,,,,,,,
524288,64,9240.83,,,,,,,,,,
1048576,64,13653.3,,,,,,,,,,
2048,128,54.0541,,,,,,,,,,
4096,128,125,,,,,,,,,,
8192,128,258.065,,,,,,,,,,
16384,128,516.129,,,,,,,,,,
32768,128,798.752,,,,,,,,,,
65536,128,1921.2,,,,,,,,,,
131072,128,3615.18,,,,,,,,,,
262144,128,6081.66,,,,,,,,,,
524288,128,9564.51,,,,,,,,,,
1048576,128,13991.5,,,,,,,,,,
2048,256,60.6061,,,,,,,,,,
4096,256,125,,,,,,,,,,
8192,256,228.571,,,,,,,,,,
16384,256,500,,,,,,,,,,
32768,256,1018.91,,,,,,,,,,
65536,256,1954.2,,,,,,,,,,
131072,256,3564.84,,,,,,,,,,
262144,256,6622.47,,,,,,,,,,
524288,256,8636.79,,,,,,,,,,
1048576,256,12790,,,,,,,,,,
2048,512,64.5161,,,,,,,,,,
4096,512,129.032,,,,,,,,,,
8192,512,258.065,,,,,,,,,,
16384,512,500,,,,,,,,,,
32768,512,988.417,,,,,,,,,,
65536,512,1937.56,,,,,,,,,,
131072,512,3690.09,,,,,,,,,,
262144,512,6501.59,,,,,,,,,,
524288,512,9272.21,,,,,,,,,,
1048576,512,13785.4,,,,,,,,,,
